Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],I get Bozo,Bozo,object,bozo,object,object,,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],my get Mommy,Mommy,pronoun,Mommy,pronoun,pronoun,,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],Shadow go get it,,,,,,,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],go get it,,,,,,,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],Mommy go get it,,,,,,?,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],go get it,,,,,,?,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],I go get it,,,,,0,,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],go get go get it Mommy,,,,,0,,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],go get it,,,,,0,,?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],go block get it,,,,,,?,object = block?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],Mommy get it ladder,ladder,object ,ladder,object ,object ,?,object = ladder?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],Mommy get it my ladder,ladder,object ,ladder,object ,object ,?,object = ladder?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],Daddy suitcase go get it,,,,,0,,object = suitcase?,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],my xxx get Adam bike,bike,object,bike,object,object,,,
Brown,adam01.xml,['Adam'],get|gets|got|gotten|getting,['P2Y3M4D'],I get that brush that brush,brush,object,brush,object,object,,,
