Corpus,File,Name,Verb,Age,Sent,Syntactic Object,Event or Object,Syntactic Object,Event or Object,Convergence,Comments,Comments
Brown,adam01.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y3M4D'],I may give some,some,pronoun,some,pronoun,pronoun,,
Brown,adam02.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y3M18D'],I give it,,,,,0,,
Brown,adam08.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y6M17D'],yeah give you piece,piece,object,piece,object,object,,
Brown,adam08.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y6M17D'],I like to give her,her,pronoun,her,pronoun,pronoun,,
Brown,adam08.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y6M17D'],give dat that a Ursula give dat that Ursula,that,pronoun,that,pronoun,pronoun,,
Brown,adam08.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y6M17D'],who dat that Adam gave Ursula,,,,,0,,?
Brown,adam11.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y8M1D'],do give me a nice one,one,pronoun,one,pronoun,pronoun,?,
Brown,adam13.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y9M4D'],who gave it,,,,,0,,
Brown,adam17.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y10M30D'],I get give you pie,pie,object,pie,object,object,,
Brown,adam18.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y11M13D'],I gave him kiss,kiss,event,kiss,event,event,,
Brown,adam19.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y11M28D'],go give me candy,candy,object,candy,object,object,,
Brown,adam19.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y11M28D'],I going give Robin dat that pencil,pencil,object,pencil,object,object,,
Brown,adam19.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y11M28D'],I going give you one,one,pronoun,one,pronoun,pronoun,?,
Brown,adam19.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y11M28D'],I going give it somebody,,,,,0,,
Brown,adam19.xml,['Adam'],give|gives|given|gived|giving|gave,['P2Y11M28D'],I going put it outside give it to fish,,,,,0,,
Brown,adam20.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y0M11D'],Daddy give me  one,one,pronoun,one,pronoun,pronoun,?,
Brown,adam20.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y0M11D'],Mommy give me  one,one,pronoun,one,pronoun,pronoun,?,
Brown,adam21.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y0M25D'],who give dat that train to me,train,object,train,object,object,,
Brown,adam21.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y0M25D'],don't give me some,some,pronoun,some,pronoun,pronoun,,
Brown,adam22.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M9D'],Judith give kiss a kiss,kiss,event,kiss,event,event,,
Brown,adam22.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M9D'],you went to the door ask me give me some carrots and some beans,carrots/beans,object,carrot and bean,object,object,,
Brown,adam22.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M9D'],you want to give me some carrots an some beans,carrots/beans,object,carrot and bean,object,object,,
Brown,adam22.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M9D'],I going give her xxx dat that mask,mask,object,mask,object,object,,
Brown,adam22.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M9D'],an give them to Barney,them,pronoun,them,pronoun,pronoun,,
Brown,adam23.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M26D'],I going give you some food,food,object,food,object,object,,
Brown,adam23.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M26D'],I xxx goin give you some tea,tea,object,tea,object,object,,
Brown,adam23.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M26D'],I goin give you some,some,pronoun,some,pronoun,pronoun,,
Brown,adam23.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y1M26D'],I going give you some some,some,pronoun,some,pronoun,pronoun,,
Brown,adam24.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y2M9D'],I goin give you some,some,pronoun,some,pronoun,pronoun,,
Brown,adam25.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y2M21D'],I give her a little little bit,bit,object,bit,object,object,,
Brown,adam25.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y2M21D'],what you going to give me,,,,,0,,?
Brown,adam27.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y3M18D'],I going to give the baby the bottle,bottle,object,bottle,object,object,,
Brown,adam27.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y3M18D'],when you go I will give you some hands,hands,object,hand,object,object,,
Brown,adam27.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y3M18D'],I will give you my hands,hands,object,hand,object,object,,
Brown,adam27.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y3M18D'],Mommy give de the Paul give Paul pretend,,,,,0,,?
Brown,adam28.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M1D'],I goin give you a cake knife,cake knife,object,knife,object,object,,
Brown,adam28.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M1D'],you will give me one more,more,pronoun,more,pronoun,pronoun,,
Brown,adam28.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M1D'],I goin give it,,,,,0,,
Brown,adam28.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M1D'],and the chicken gave it to Bozo to eat,,,,,0,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],an I going to give you a shot,shot,event,shot,event,event,?,?
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],and I goin give him some aspirin,aspirin,object,aspirin,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],and I gonna give him some aspirin,aspirin,object,aspirin,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I goin give Paul some aspirin,aspirin,object,aspirin,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],here some I give block,block,object,block,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I goin to give you a block,block,object,block,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],who gave me some lips,lips,object,lip,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],why he gave me some lips,lips,object,lip,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],he gave me a lollipop,lollipop,object,lollipop,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],oh an he gave his mother his milk,milk,object,milk,object,object,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I goin give you a temperature,temperature,object,temperature,object,object,take a temperature = event,?
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I goin give you one,one,pronoun,one,pronoun,pronoun,?,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I gave him some so he won't cry,some,pronoun,some,pronoun,pronoun,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],an he goin give dat that to him,that,pronoun,that,pronoun,pronoun,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],can I have can I give that to Mommy,that,pronoun,that,pronoun,pronoun,,
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],he gave me,,,,,0,,?
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I goin give him I goin put his finger I goin do dat that to his back,,,,,0,,?
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I got two dollars to give you so you can,,,,,0,,?
Brown,adam29.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y4M18D'],I give you,,,,,0,,?
Brown,adam30.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M1D'],I goin give you these,these,pronoun,these,pronoun,pronoun,,
Brown,adam30.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M1D'],I goin give you these,these,pronoun,these,pronoun,pronoun,,
Brown,adam31.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M15D'],I giving cider,cider,object,cider,object,object,,
Brown,adam31.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M15D'],your a funny Urs for giving Paul a dog,dog,object,dog,object,object,,
Brown,adam31.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M15D'],he gave us some more more gas,gas,object,gas,object,object,,
Brown,adam31.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M15D'],does the man give them to them,them,pronoun,them,pronoun,pronoun,,
Brown,adam31.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M15D'],what she giving to the wolf,,,,,0,,?
Brown,adam32.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M29D'],what he give you,,,,,0,,?
Brown,adam32.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y5M29D'],I just goin to give it to her,,,,,0,,
Brown,adam34.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y7M7D'],I give the bag to myself,bag,object,bag,object,object,,
Brown,adam34.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y7M7D'],I goin give you some plate,plate,object,plate,object,object,,
Brown,adam38.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y9M16D'],will you give me some six,six,object,six,object,object,?,?
Brown,adam38.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y9M16D'],an you give him some sugar in his milk,sugar,object,sugar,object,object,,
Brown,adam39.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y10M15D'],Mommy can you give me some blocks to put over in my bag,blocks,object,block,object,object,,
Brown,adam40.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M1D'],I have my gas station giving gas,gas,object,gas,object,object,,
Brown,adam40.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M1D'],would you give me salad too,salad,object,salad,object,object,,
Brown,adam40.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M1D'],I give you a tire,tire,object,tire,object,object,,
Brown,adam40.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M1D'],I give you a tire,tire,object,tire,object,object,,
Brown,adam40.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M1D'],is he did he give you a tire,tire,object,tire,object,object,,
Brown,adam40.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M1D'],but I gave you seven,seven,pronoun,seven,pronoun,pronoun,?,
Brown,adam40.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M1D'],I gave you seven,seven,pronoun,seven,pronoun,pronoun,?,
Brown,adam41.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M14D'],Mommy I give you moustache,moustache,object,moustache,object,object,,
Brown,adam41.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M14D'],I give you one,one,pronoun,one,pronoun,pronoun,?,
Brown,adam41.xml,['Adam'],give|gives|given|gived|giving|gave,['P3Y11M14D'],put dis this on here and den then he gave it to somebody to repair it,,,,,0,,
Brown,adam42.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y0M14D'],I give you a spanking,spanking,event,spanking,event,event,?,
Brown,adam42.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y0M14D'],I forgot a give you some dollars,dollars,object,dollar,object,object,,
Brown,adam42.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y0M14D'],I give you some dollars too,dollars,object,dollar,object,object,,
Brown,adam42.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y0M14D'],I give you some more money,money,object,money,object,object,,
Brown,adam42.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y0M14D'],now give me some more money,money,object,money,object,object,,
Brown,adam43.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y1M15D'],dat's that's de the name my mommy gave me too,,,,,0,?,?
Brown,adam44.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y2M17D'],I can give him one of mine,one,pronoun,one,pronoun,pronoun,?,?
Brown,adam44.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y2M17D'],no we have_to give it back to her,,,,,0,,
Brown,adam44.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y2M17D'],my tongue hurts drinking all dat that stuff dat that Pucile gave me,,,,,0,?,?
Brown,adam45.xml,['Adam'],give|gives|given|gived|giving|gave,['P4Y3M9D'],I'm giving the man to Paul,man,object,man,object,object,,
