Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Covergence,Comments,Comments,
Brown,adam03.xml,['Adam'],have|haves|having|had|haven't,['P2Y4M3D'],ball have it,,,,,0,,it = ball,
Brown,adam03.xml,['Adam'],have|haves|having|had|haven't,['P2Y4M3D'],no no xxx have one,one,,one,,0,?,?,
Brown,adam03.xml,['Adam'],have|haves|having|had|haven't,['P2Y4M3D'],oh no xxx have one,one,,one,,0,?,?,
Brown,adam04.xml,['Adam'],have|haves|having|had|haven't,['P2Y4M15D'],dog have hole,hole,object,hole,object,object,,,
Brown,adam05.xml,['Adam'],have|haves|having|had|haven't,['P2Y4M30D'],she have fire,fire,object,fire,object,object,,,
Brown,adam06.xml,['Adam'],have|haves|having|had|haven't,['P2Y5M12D'],no xxx have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam06.xml,['Adam'],have|haves|having|had|haven't,['P2Y5M12D'],I don't have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam06.xml,['Adam'],have|haves|having|had|haven't,['P2Y5M12D'],d you have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam06.xml,['Adam'],have|haves|having|had|haven't,['P2Y5M12D'],Cromer have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam07.xml,['Adam'],have|haves|having|had|haven't,['P2Y6M3D'],pig have ribbon on,ribbon,object,ribbon,object,object,,,
Brown,adam07.xml,['Adam'],have|haves|having|had|haven't,['P2Y6M3D'],yeah have some,some,pronoun,some,pronoun,pronoun,,,
Brown,adam07.xml,['Adam'],have|haves|having|had|haven't,['P2Y6M3D'],I have three,,,,,0,?,?,
Brown,adam07.xml,['Adam'],have|haves|having|had|haven't,['P2Y6M3D'],I have three,,,,,0,?,?,
Brown,adam07.xml,['Adam'],have|haves|having|had|haven't,['P2Y6M3D'],I have three,,,,,0,?,?,
Brown,adam08.xml,['Adam'],have|haves|having|had|haven't,['P2Y6M17D'],want to have the balls want to,ball,object,ball,object,object,?,,
